cluster,rang,terme,score
0,1,socialistes,0.0569539543030316
0,2,socialiste,0.05200343482248595
0,3,travailleurs,0.04216350194819814
0,4,congrès,0.040739306600075444
0,5,ouvrière,0.03595762918388493
0,6,salaires,0.03475882996198473
0,7,dc,0.0334473135108428
0,8,grève,0.03341118652333084
0,9,classe,0.03306004305545873
0,10,mai,0.03292073027417986
0,11,chômage,0.03202169730523602
0,12,juin,0.02935751945496104
0,13,fédération,0.0285172414339264
0,14,ouvrier,0.028243818622333848
0,15,avril,0.02780254969627804
0,16,ct,0.02762116720192522
0,17,charleroi,0.02589749490367489
0,18,camarades,0.025816827646416424
0,19,catholiques,0.02541161693376374
0,20,libéraux,0.025024118335009362
1,1,juillet,0.0914977597271087
1,2,budget,0.06152690921672897
1,3,convention,0.045303511236781474
1,4,vote,0.045259153470553884
1,5,distinction,0.04364527449759102
1,6,socialistes,0.040807932499264725
1,7,discussion,0.03908916899484607
1,8,août,0.038105837505993057
1,9,catholiques,0.036318132228739725
1,10,dc,0.036240748740418785
1,11,carton,0.03305568389762014
1,12,droite,0.030748578895304864
1,13,proposition,0.030543646146074858
1,14,l'orateur,0.030201050866610832
1,15,ct,0.029940909444574983
1,16,correspondant,0.02977087885143273
1,17,banque,0.02808079220355977
1,18,wiart,0.027167512539904525
1,19,socialiste,0.02715330768762303
1,20,j'ai,0.027129420573155677
2,1,id,0.13055213525115913
2,2,ld,0.10303844805223777
2,3,février,0.07056250403197516
2,4,tonnes,0.06945062997635847
2,5,1/2,0.06444266243535585
2,6,....,0.05477095703396016
2,7,mars,0.049376124165068966
2,8,marché,0.047165807303407664
2,9,.—,0.04593031795026466
2,10,janvier,0.04588138679537327
2,11,100,0.04321165269090566
2,12,1/4,0.04179670837091005
2,13,actions,0.041131633674659614
2,14,matinée,0.03810399336272402
2,15,production,0.037601818770628216
2,16,décembre,0.03658363127522829
2,17,.....,0.034411175974875856
2,18,net,0.03169963926397728
2,19,valeurs,0.030794954210206067
2,20,beurre,0.030002755953886497
3,1,cap,0.18173960248284934
3,2,pr,0.17399642016944722
3,3,tr,0.1309128927954958
3,4,1/2,0.128284721305484
3,5,congo,0.11849133760261446
3,6,....,0.11203786309352752
3,7,b.,0.10591127052036171
3,8,o.,0.10049337796106139
3,9,100,0.08801028315136625
3,10,id,0.08618733274228312
3,11,gaz,0.08042598190646334
3,12,75,0.07594827507630295
3,13,cr,0.07517451257828717
3,14,ld,0.07434815441675706
3,15,ch,0.07375239625028902
3,16,br,0.07069133271755737
3,17,60,0.06981680863732101
3,18,80,0.0694372282038437
3,19,400,0.06269946132721202
3,20,500,0.06261130747446356
4,1,’,0.9690465854893154
4,2,‘,0.021979006812487562
4,3,“,0.01052752039635455
4,4,1/2,0.009975180318447128
4,5,v.,0.009317059408250854
4,6,av,0.009281615735901297
4,7,vendre,0.008333047426650404
4,8,agence,0.008307775562893346
4,9,id,0.008151770419008041
4,10,pl,0.008151178926684311
4,11,kilo,0.008140861218516118
4,12,hui,0.007864367273362746
4,13,aujourd,0.007811260059215822
4,14,fr.,0.007809157577631254
4,15,août,0.007589627943083295
4,16,3.,0.007235409720651571
4,17,b.,0.0072199197772364
4,18,ch,0.006854265665941379
4,19,2.,0.006827391589218371
4,20,fi,0.006766624894898958
5,1,1.,0.12184304148916748
5,2,3.,0.11623114628716852
5,3,2.,0.11384229096456655
5,4,bat,0.07722063187367126
5,5,concert,0.07272314114991839
5,6,g.,0.07082581532649852
5,7,4.,0.06747849826177049
5,8,match,0.06330487130537925
5,9,pl,0.062023136539738205
5,10,l.,0.06190873207417873
5,11,mètres,0.05969983494714685
5,12,club,0.051174652214291606
5,13,vainqueur,0.05016769032308782
5,14,course,0.04982540973893637
5,15,points,0.04840742394062132
5,16,45,0.04782638895630224
5,17,8.,0.0468970958854888
5,18,sport,0.04479918301292032
5,19,v.,0.04471908979922266
5,20,b.,0.04454020445593674
6,1,l'allemagne,0.054826041397812754
6,2,catholiques,0.047944497060005184
6,3,catholique,0.04665887690876146
6,4,socialistes,0.03955857791743863
6,5,cabinet,0.038145411102656776
6,6,dc,0.03374066397630252
6,7,rome,0.031816325528365476
6,8,reich,0.031225373233857816
6,9,l'italie,0.031140761498708435
6,10,hitler,0.029816149643760052
6,11,theunis,0.028980686445501384
6,12,ct,0.027886576866998882
6,13,novembre,0.027782481416333195
6,14,budget,0.025647938536265073
6,15,milliards,0.02528167320213099
6,16,ministres,0.02516005665691487
6,17,mussolini,0.025093780274035405
6,18,majorité,0.02503746566573429
6,19,von,0.024295772311910546
6,20,socialiste,0.024204466522084096
7,1,vendre,0.1360997580517125
7,2,namur,0.07125650603907054
7,3,avenue,0.06966432374199452
7,4,b.,0.0651018563913879
7,5,av,0.06503195641584972
7,6,vente,0.06139376328627303
7,7,ch,0.060681537546744976
7,8,jardin,0.05652484464636387
7,9,tr,0.05633972618479363
7,10,cherche,0.052805459248700545
7,11,pr,0.05128269177120222
7,12,pl,0.05090742040303767
7,13,ménage,0.04938081158069718
7,14,#,0.04917555639804112
7,15,chaussée,0.04725976688493123
7,16,fille,0.04458185619332906
7,17,cuisine,0.0444840540001081
7,18,ventes,0.04419827330131644
7,19,s'adresser,0.04357975363117215
7,20,brux,0.04343926166717503
8,1,concert,0.06562272667834292
8,2,ft,0.05369559966922012
8,3,demeurant,0.05167218981673044
8,4,admis,0.04882068177950287
8,5,matinée,0.04853545618271528
8,6,namur,0.04312765503596571
8,7,musique,0.03977719133431949
8,8,octobre,0.036462317215521935
8,9,avril,0.03382079630082093
8,10,frs,0.0332037697788783
8,11,orchestre,0.033165995021223485
8,12,jean,0.032581898799079634
8,13,mlle,0.032251448743403355
8,14,soirée,0.031141078393008184
8,15,cercle,0.0308410624739821
8,16,dc,0.03031536067217085
8,17,l'hôpital,0.02978366357038937
8,18,accident,0.0297733850666417
8,19,nommé,0.029298550947843678
8,20,janvier,0.029019001186369818
9,1,ft,0.09197424840711503
9,2,dc,0.0707387545313295
9,3,août,0.061860745351358604
9,4,ct,0.05839578355397611
9,5,septembre,0.05558081537380101
9,6,ù,0.02728991343827021
9,7,troupes,0.026741656286423277
9,8,the,0.02617399297153276
9,9,cn,0.024929995586208318
9,10,congrès,0.023914641492807778
9,11,accident,0.023568187628432342
9,12,mètres,0.023286957992214505
9,13,l'irlande,0.023061786586645504
9,14,l'allemagne,0.023001626424921692
9,15,of,0.022769664738314953
9,16,mars,0.02263257836633192
9,17,l'hôpital,0.0222900852589959
9,18,and,0.021829840756427875
9,19,lloyd,0.021416801554692253
9,20,correspondant,0.021335469350119304
10,1,mgr,0.037657554457122495
10,2,catholiques,0.03745286251936947
10,3,catholique,0.03513044853857153
10,4,dc,0.030414964223474034
10,5,j'ai,0.029882542425508373
10,6,ct,0.027719807787492022
10,7,l'abbé,0.024887729520222907
10,8,œuvres,0.024396952977581588
10,9,dn,0.023977353856172928
10,10,siècle,0.023865559254615667
10,11,prince,0.02355019655937817
10,12,dieu,0.022879206584085602
10,13,mai,0.021910237139428874
10,14,avril,0.02180115438659986
10,15,écoles,0.021595477885515774
10,16,cardinal,0.020880548064628343
10,17,reine,0.02069311932958244
10,18,foule,0.020426316902167268
10,19,princesse,0.020099096815185152
10,20,langue,0.019889437421733953
11,1,chine,0.04436493198017258
11,2,nations,0.042645022307331006
11,3,genève,0.03962955537975005
11,4,octobre,0.03832186658892313
11,5,l'allemagne,0.03733679009322526
11,6,pacte,0.03595921232114514
11,7,japon,0.033520424850473685
11,8,japonais,0.03319061389358036
11,9,l'italie,0.032632285937127914
11,10,novembre,0.032611662889645676
11,11,troupes,0.031912504199669234
11,12,socialistes,0.030536597939797638
11,13,chinois,0.030198465934429434
11,14,etats,0.029726103731710255
11,15,dc,0.02789630994025142
11,16,cabinet,0.027659767323371356
11,17,socialiste,0.026656824198108407
11,18,désarmement,0.026395540001117043
11,19,république,0.026360977572611126
11,20,mesures,0.025508760275697026
12,1,film,0.42615446119456313
12,2,cinéma,0.23347432914972524
12,3,films,0.17003871561602507
12,4,scène,0.12809309927956947
12,5,rôle,0.05706580744559726
12,6,jacques,0.05328257169856808
12,7,production,0.04492638230020747
12,8,jean,0.04477152794719393
12,9,artistes,0.04224567612105138
12,10,réalisation,0.041331684297034085
12,11,fille,0.04026647798781893
12,12,roman,0.03943198555418244
12,13,théâtre,0.03733334635812429
12,14,livre,0.034694658629097985
12,15,comique,0.03464340367025462
12,16,victor,0.03289472069457074
12,17,pierre,0.03263978454204923
12,18,aa,0.03176583746006989
12,19,jo,0.03174138336770548
12,20,visage,0.03168768852975146
13,1,george,0.0873831737865121
13,2,l'allemagne,0.08671101997954087
13,3,lloyd,0.08452295196530228
13,4,l'irlande,0.07508968741137023
13,5,britannique,0.05495343338071426
13,6,alliés,0.05234113198121858
13,7,réparations,0.04843717498387069
13,8,août,0.04802479075155897
13,9,allemands,0.04742464008573218
13,10,l'angleterre,0.04724000562787694
13,11,chancelier,0.04531364350986902
13,12,traité,0.045064051652686246
13,13,allemand,0.041902688203542225
13,14,l'empire,0.03975911241803143
13,15,propositions,0.035143479661392835
13,16,allemande,0.03472573613157147
13,17,grande-bretagne,0.03454965437876113
13,18,dc,0.033831860227731214
13,19,troupes,0.03111903933917461
13,20,cabinet,0.030000140187810484
